,Borough,Neighbourhood,Venue,Venue_id,Category,Location.lat,Location.lng,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
77,North York,"Northwood Park,York University",AAA AUTO SPA MOBILE CAR DETAILING,57c5d5ce498ec95b54afa201,Car Wash,43.78059136684751,-79.48710322380066,4,Vietnamese Restaurant,Italian Restaurant,Diner,Thai Restaurant,Electronics Store,Korean Restaurant,Music Store,Bus Stop,Chinese Restaurant,Sushi Restaurant
78,North York,Downsview West,Ecomobile Auto Spa,51eead7a498ea99f321f6e54,Car Wash,43.743056,-79.527732,0,Auto Garage,Golf Course,Bus Station,Furniture / Home Store,Theater,Yoga Studio,Farmers Market,Electronics Store,Ethiopian Restaurant,Event Space
79,North York,"Northwood Park,York University",Star Steam,510be4dae4b0b0ec5e4f6a33,Car Wash,43.784163,-79.477228,0,Clothing Store,Accessories Store,Shoe Store,Restaurant,Mexican Restaurant,Bath House,Caucasian Restaurant,Discount Store,Supermarket,Sandwich Place
80,Etobicoke,"Kingsway Park South West,Mimico NW,The Queensway West,Royal York South West,South of Bloor",Speedy Auto Service,4e56517ba809ca773dfe755e,Automotive Shop,43.63114627999663,-79.54612688068397,0,Fast Food Restaurant,Supermarket,Beer Store,Concert Hall,Gas Station,Restaurant,Baseball Field,Rental Car Location,Vietnamese Restaurant,Café
81,North York,"Northwood Park,York University",Steeles Car Wash,4f511a4be4b00ad2ab11bbc1,Car Wash,43.78252753120094,-79.48640786410006,0,Vietnamese Restaurant,Food,Music Store,Falafel Restaurant,Bus Stop,Diner,Sushi Restaurant,Italian Restaurant,Martial Arts Dojo,Thai Restaurant
82,Etobicoke,"Kingsway Park South West,Mimico NW,The Queensway West,Royal York South West,South of Bloor",Esso Touchless Car Wash,52ffa137498e9ccff8cb1526,Car Wash,43.62392584986219,-79.5156655639394,0,BBQ Joint,Restaurant,Coffee Shop,American Restaurant,Italian Restaurant,Movie Theater,Liquor Store,Sushi Restaurant,Event Space,Thrift / Vintage Store
83,North York,Humber Summit,Esso,5bfb242d1c0b34002cfb0366,Gas Station,43.769731,-79.548212,0,Italian Restaurant,Bridal Shop,Bank,Chinese Restaurant,Coffee Shop,Sandwich Place,Men's Store,Fish Market,Fish & Chips Shop,Flea Market
84,North York,Willowdale West,Autobahn,51aa1c51498e35a6097d7089,Car Wash,43.822732,-79.48359,0,Park,Fast Food Restaurant,Coffee Shop,Japanese Restaurant,Yoga Studio,Eastern European Restaurant,Electronics Store,Ethiopian Restaurant,Event Space,Falafel Restaurant
85,Etobicoke,"Albion Gardens,Beaumond Heights,Humbergate,Jamestown,Mount Olive,Silverstone,South Steeles,Thistletown",Canadian Tire Gas+,516499afe4b04a934b547361,Gas Station,43.74270475007968,-79.594644104551,0,Pizza Place,Coffee Shop,Grocery Store,Discount Store,Sandwich Place,Financial or Legal Service,Filipino Restaurant,Fish & Chips Shop,Fast Food Restaurant,Farmers Market
86,Etobicoke,Northwest,Popular Car Wash & Detailing - Free Vacuums,4ef5036b754ac34454590eb8,Car Wash,43.713492,-79.5824237,0,Burger Joint,Auto Workshop,Storage Facility,Coffee Shop,Gym,Sandwich Place,Gas Station,Yoga Studio,Event Space,Eastern European Restaurant
